structural_type,construction_material,fire_load_type,wall_thickness,height_floors,temperature,wind,humidity,area_m2,paint,room_number,room_occupants,fire_resistance
Sandstone,Timber,Commercial,1,10,14.22130071671404,7.140547067075721,83.17273386776856,1798,Standard Paint,30,16,4.9
Timber Structures,Timber,Commercial,2,8,12.599140861841295,2.708318170083615,83.04607217357345,1280,Fire Resistant Paint,39,36,3.8
Sandstone,Steel,Commercial,2,40,13.510969439282377,1.2910358143360199,60.436848009219204,1672,Standard Paint,69,41,2.5
Timber Structures,Timber,Residential,2,4,14.373785638354018,9.775054304647435,48.35413533227975,399,Fire Resistant Paint,5,9,2.6
Sandstone,Concrete,Residential,2,4,16.637406693531286,9.930873670022498,75.32946907039059,1598,Fire Resistant Paint,6,6,2.8
Sandstone,Concrete,Residential,2,3,24.48505078226996,6.919447328736036,82.18742260559453,977,Fire Resistant Paint,6,1,4.6
Timber Structures,Concrete,Residential,1,3,32.82088678633814,4.761048215790854,70.80796656220416,1667,Fire Resistant Paint,7,9,2.8
Masonry Structures,Steel,Residential,1,2,11.209268217738508,4.1649137069214435,89.19878041573378,469,Fire Resistant Paint,10,6,3.4
Masonry Structures,Timber,Commercial,2,35,21.24435748135315,1.3579521866344195,81.37506793281224,170,Standard Paint,82,44,4.7
Timber Structures,Timber,Residential,2,4,20.398128556171567,6.910359003006469,56.57539982498541,948,Standard Paint,9,8,3.0
Masonry Structures,Timber,Commercial,2,38,28.618071219086467,8.626154340491116,74.96029978309176,1815,Fire Resistant Paint,62,14,1.3
Reinforced Concrete Structures,Steel,Residential,1,6,28.586412979985354,8.195704554622237,84.11033692949067,1605,Standard Paint,10,1,5.6
Reinforced Concrete Structures,Timber,Commercial,1,11,29.99828686673346,8.405152317831563,74.84807065251223,802,Fire Resistant Paint,64,34,1.8
Timber Structures,Concrete,Residential,2,6,27.400197077894166,1.2320032344418754,55.619984270378964,755,Fire Resistant Paint,8,9,4.7
Brick,Timber,Commercial,2,39,18.457877155921892,8.860091563641618,54.2217570417564,1596,Fire Resistant Paint,73,19,3.5
Brick,Steel,Commercial,1,24,32.5428661469024,1.675652276362924,89.41845174547234,1999,Standard Paint,79,32,5.1
Brick,Timber,Residential,2,5,23.755136248970025,9.79990551364289,44.9612790981943,1440,Standard Paint,6,4,4.0
Masonry Structures,Steel,Residential,1,5,30.635238874941926,5.725600814374816,73.21696729718224,140,Standard Paint,7,9,5.9
Brick,Concrete,Commercial,1,34,22.692843801849055,3.4932042628924505,43.9603471934772,860,Standard Paint,71,19,4.3
Masonry Structures,Concrete,Commercial,1,37,17.978868678725874,4.730960471327896,42.0162077640189,321,Fire Resistant Paint,83,12,2.5
Masonry Structures,Timber,Commercial,1,27,25.791981637248615,5.170017846440182,47.0101183956453,1526,Fire Resistant Paint,66,39,1.7
Sandstone,Steel,Commercial,1,43,34.95254885988683,6.288254946379133,63.84898614676877,1149,Fire Resistant Paint,67,10,3.0
Brick,Timber,Commercial,1,49,21.90191114600688,8.595297713869428,74.95943800938706,606,Standard Paint,70,12,1.8
Brick,Steel,Residential,1,3,11.117952421642485,1.154690265103995,53.128718822225146,1753,Standard Paint,7,4,5.4
Brick,Timber,Commercial,1,17,10.763422692376539,8.40007728015207,78.27163026755954,571,Fire Resistant Paint,42,22,3.2
Sandstone,Timber,Commercial,2,22,32.66796053815669,9.033068749734865,82.74828707556115,472,Fire Resistant Paint,42,39,3.0
Timber Structures,Concrete,Residential,2,4,31.825954238903552,1.1723426811434563,71.56700812394425,1702,Fire Resistant Paint,10,10,2.0
Masonry Structures,Steel,Residential,1,4,21.420045623096158,5.709311285699753,45.25960459863373,505,Fire Resistant Paint,4,5,3.8
Brick,Steel,Commercial,1,19,15.498037006475247,5.498753690401221,47.27375579147913,1169,Fire Resistant Paint,65,44,4.1
Reinforced Concrete Structures,Timber,Residential,1,1,10.617101274294168,1.8775924588687125,77.65345605768798,439,Fire Resistant Paint,5,1,5.1
Timber Structures,Timber,Residential,2,4,17.141130767173617,9.717399665307083,56.150149305987114,1034,Fire Resistant Paint,7,7,1.1
Brick,Concrete,Commercial,1,42,16.23327684324382,1.301913987323434,83.18082722755358,1518,Fire Resistant Paint,83,48,2.5
Timber Structures,Timber,Commercial,2,37,18.325204274714537,8.189439597732898,45.40476913374449,234,Fire Resistant Paint,84,47,3.7
Masonry Structures,Concrete,Residential,1,5,25.118825087428093,7.357470763983624,51.39950958450152,1608,Standard Paint,9,6,2.9
Brick,Timber,Commercial,2,41,31.282977367932784,5.8076050525398575,49.21546798228859,876,Fire Resistant Paint,71,40,3.0
Sandstone,Steel,Residential,1,1,15.948982978084466,4.7320014657063165,87.82106513744469,1745,Standard Paint,5,4,3.2
Brick,Steel,Residential,2,5,12.931967509222458,8.239100269907292,78.76039516463848,333,Fire Resistant Paint,10,9,1.7
Sandstone,Timber,Residential,1,1,20.15522454806995,8.520698661321745,55.363180470426684,1137,Standard Paint,6,1,3.7
Masonry Structures,Steel,Commercial,2,44,31.895814154615763,9.890106902614729,76.01373368589137,1955,Standard Paint,95,30,2.8
Reinforced Concrete Structures,Concrete,Residential,1,4,23.74150560451087,3.2229978856119255,80.87982809412244,1021,Fire Resistant Paint,8,7,5.2
Timber Structures,Steel,Residential,1,1,13.611237668437308,1.024117715131072,69.85021832113863,557,Fire Resistant Paint,5,1,5.0
Timber Structures,Timber,Residential,2,4,29.475222904865372,4.771326024358835,68.99035857187195,1193,Standard Paint,5,4,2.7
Masonry Structures,Timber,Commercial,1,33,32.699651296321534,1.0402630539821531,86.42123570920359,1617,Standard Paint,80,42,6.0
Reinforced Concrete Structures,Steel,Commercial,1,15,19.928828473646686,4.79529977102422,63.02540672164903,1430,Fire Resistant Paint,43,24,4.7
Brick,Timber,Commercial,1,28,27.00810569050259,3.3925831031694282,86.34458387099798,103,Standard Paint,41,47,2.1
Reinforced Concrete Structures,Steel,Residential,2,4,13.010432554364032,2.303343834517346,80.67652223700719,1465,Fire Resistant Paint,6,8,3.1
Timber Structures,Steel,Commercial,2,30,19.841134481152253,7.588667430228533,83.14452157779915,241,Fire Resistant Paint,64,19,2.4
Sandstone,Timber,Commercial,1,19,18.713999527311387,6.131308636543681,67.74116869238415,361,Standard Paint,60,40,1.7
Sandstone,Concrete,Commercial,1,31,30.398330749879744,2.1762845084410376,47.42435219719174,992,Standard Paint,68,26,3.7
Brick,Steel,Commercial,1,36,34.70558505539937,3.290495522376906,68.34680806748386,1674,Standard Paint,70,48,3.6
Timber Structures,Timber,Residential,1,5,18.04168183449094,7.182222941922751,71.0371373032937,472,Fire Resistant Paint,9,7,6.7
Brick,Concrete,Commercial,2,27,28.666380394576308,4.48040117373636,60.705210250913694,1974,Fire Resistant Paint,64,44,3.4
Timber Structures,Timber,Residential,2,6,17.000960920674444,7.839780580332339,69.07930106100933,413,Standard Paint,7,9,2.6
Masonry Structures,Steel,Commercial,2,33,20.489692255692383,2.6163335083319743,44.71600941833249,131,Standard Paint,64,33,5.2
Brick,Steel,Commercial,1,26,15.195138023592872,4.072469189367946,76.17573988176733,1637,Fire Resistant Paint,64,16,4.4
Brick,Concrete,Residential,2,1,16.569962546982836,1.7136291266929042,48.2651655077366,1999,Standard Paint,5,10,1.7
Reinforced Concrete Structures,Steel,Residential,2,6,22.869674009752032,5.080267266454335,47.686449762724514,1389,Fire Resistant Paint,11,4,2.1
Brick,Concrete,Commercial,2,16,32.79877258551997,6.82539039073443,88.32718934620019,460,Fire Resistant Paint,62,29,5.0
Brick,Timber,Residential,2,6,16.90898405550032,8.71433901767731,50.04006906362388,396,Standard Paint,9,9,5.9
Timber Structures,Concrete,Commercial,1,40,13.918332778973156,9.290182866920563,59.286447018676355,1987,Fire Resistant Paint,79,25,6.7
Brick,Steel,Residential,1,2,20.27616738937477,9.85377434625373,61.15588229249443,830,Fire Resistant Paint,2,6,3.6
Masonry Structures,Steel,Residential,1,6,28.509320279111215,2.2364776867193,51.889605384939394,1044,Fire Resistant Paint,10,10,3.3
Timber Structures,Steel,Residential,1,3,30.98150328957197,1.2569456598948334,86.2692412601582,1296,Standard Paint,5,10,3.6
Sandstone,Concrete,Commercial,1,30,19.982942230171886,3.2032002581865124,65.5897352953353,442,Standard Paint,84,47,2.3
Brick,Steel,Residential,1,2,23.02198713658613,4.440035523659993,78.67835519387887,510,Fire Resistant Paint,7,1,2.7
Brick,Steel,Commercial,2,45,22.462840116135247,3.3375127439886523,65.74175993937529,354,Standard Paint,98,25,3.5
Reinforced Concrete Structures,Timber,Commercial,2,49,31.842273309334324,9.190135395907907,82.92399207859935,1584,Standard Paint,81,27,2.6
Timber Structures,Timber,Residential,1,2,32.24367971843142,2.466867578473677,71.53014206466335,184,Standard Paint,5,5,6.0
Timber Structures,Steel,Residential,2,4,20.397303852889188,3.5986817901927153,79.90434516206577,538,Standard Paint,9,9,4.2
Reinforced Concrete Structures,Timber,Commercial,2,27,17.75041705110835,4.419575895310609,72.13965857570776,621,Standard Paint,53,44,2.5
Brick,Concrete,Commercial,1,31,15.856816283617652,6.413024024527215,41.792204940747524,904,Fire Resistant Paint,71,12,1.9
Timber Structures,Concrete,Residential,1,3,13.44550632045755,1.6226605617447332,72.72413846602868,1544,Fire Resistant Paint,8,8,2.0
Timber Structures,Concrete,Commercial,2,12,20.53000175367375,6.754686184791952,58.10860640589887,841,Standard Paint,92,30,2.6
Reinforced Concrete Structures,Concrete,Commercial,2,40,25.97222355935387,3.369770100061713,40.9390868630227,1619,Standard Paint,82,31,2.8
Sandstone,Timber,Commercial,1,46,34.21514894647618,7.867193486730379,78.35066202059693,1584,Standard Paint,87,25,3.6
Brick,Timber,Residential,2,5,26.215305915297712,4.940908371383596,48.48323976820635,981,Standard Paint,6,1,3.8
Timber Structures,Timber,Commercial,1,31,14.036567310133481,3.698968021612086,51.220177505447225,1886,Standard Paint,80,16,5.1
Masonry Structures,Steel,Residential,1,3,34.897538191438244,4.19017839795384,75.75650769421128,1589,Fire Resistant Paint,8,2,3.7
Masonry Structures,Timber,Residential,2,3,12.36485880063075,4.358561844361579,50.112955365965476,1511,Standard Paint,4,3,3.9
Timber Structures,Timber,Residential,1,3,13.793253296268803,1.6507508841163139,78.64149469392908,1612,Standard Paint,8,3,3.8
Brick,Timber,Residential,1,6,10.01057666659785,4.267667683006069,63.82603655623911,235,Standard Paint,7,9,6.1
Timber Structures,Timber,Residential,2,6,27.724379885683874,2.2096138093318776,66.09992128152793,615,Fire Resistant Paint,11,2,4.5
Reinforced Concrete Structures,Concrete,Residential,2,2,23.407265783423572,9.455054344526788,57.096002714125405,1453,Standard Paint,3,6,1.8
Masonry Structures,Timber,Commercial,1,21,19.75636783687114,7.313233196046165,75.85491879023022,1744,Fire Resistant Paint,98,50,8.3
Sandstone,Timber,Residential,1,3,31.791804939182157,6.724366124862973,83.69906344721171,1925,Fire Resistant Paint,8,4,4.3
Masonry Structures,Timber,Residential,2,6,33.006528685953235,4.1751440291502995,69.95750070307218,608,Fire Resistant Paint,8,10,4.7
Brick,Steel,Commercial,1,46,26.70765627112235,5.808693080525089,40.602135578673014,1754,Standard Paint,66,26,3.3
Masonry Structures,Timber,Commercial,2,25,13.58835583314171,7.931410965270611,82.99461263957734,1873,Standard Paint,97,11,5.2
Timber Structures,Concrete,Residential,1,1,10.273302445111218,5.785658809823326,89.95534457804959,1701,Fire Resistant Paint,6,4,5.6
Reinforced Concrete Structures,Concrete,Commercial,2,40,18.113052933278436,6.069763787693007,67.93847945366895,703,Fire Resistant Paint,84,13,6.8
Reinforced Concrete Structures,Steel,Residential,2,4,12.577511982566989,7.295419364417188,42.9446782543919,995,Fire Resistant Paint,6,2,4.1
Brick,Timber,Commercial,1,27,19.29195130867993,1.166643462609163,58.76217135566925,1995,Standard Paint,66,29,2.0
Brick,Timber,Commercial,2,17,29.236590293217944,3.0223679532503915,72.052883737771,355,Standard Paint,46,34,3.1
Sandstone,Steel,Commercial,2,9,33.17951858287016,1.938881807250556,58.84363056850566,519,Standard Paint,65,47,5.1
Sandstone,Concrete,Residential,1,1,28.670824999369117,1.857792345585476,53.03166610558177,118,Fire Resistant Paint,10,9,4.4
Reinforced Concrete Structures,Concrete,Commercial,1,7,14.70333333724695,4.21334273012234,49.79310878047755,1200,Fire Resistant Paint,33,33,1.9
Sandstone,Steel,Residential,2,2,24.955916070062795,8.393209902622818,50.31702265194775,1104,Fire Resistant Paint,6,4,3.0
Sandstone,Timber,Residential,2,6,20.460680145182067,2.5385655685953026,73.65752621323551,152,Standard Paint,7,7,2.9
Timber Structures,Timber,Commercial,1,15,22.885668292222128,8.668944317545812,84.09142549555689,1101,Standard Paint,80,19,2.1
Reinforced Concrete Structures,Timber,Residential,2,2,25.504210503292086,8.579135347442683,51.62010931938854,149,Fire Resistant Paint,6,3,2.5
Reinforced Concrete Structures,Steel,Commercial,1,46,26.190525284204053,7.0004978916479175,73.47835743107214,1682,Standard Paint,64,31,4.3
Reinforced Concrete Structures,Steel,Commercial,1,11,17.70851455462754,4.373419065622246,82.6639696326693,1010,Standard Paint,66,11,3.0
Reinforced Concrete Structures,Steel,Residential,2,2,19.391214418142702,9.264677261235352,86.64135175635181,329,Standard Paint,5,9,3.2
Sandstone,Concrete,Commercial,2,33,29.512088339987464,1.2442981308489447,84.1748488293103,898,Standard Paint,55,35,1.8
Masonry Structures,Timber,Residential,1,2,10.525856638560606,7.087697206093424,88.08846523311078,1666,Standard Paint,6,2,3.1
Brick,Concrete,Residential,2,5,18.45898715142428,6.737571276503403,48.23387269353657,1531,Standard Paint,10,10,3.6
Timber Structures,Steel,Commercial,2,47,21.272743223266275,2.7833693301924503,54.92799645090521,627,Fire Resistant Paint,78,13,6.0
Sandstone,Concrete,Residential,2,5,19.14507647354637,8.129034488665775,78.90810496776935,1211,Fire Resistant Paint,8,8,3.5
Sandstone,Steel,Commercial,1,26,17.187961392188132,5.869348842590299,54.71029297781298,430,Standard Paint,75,48,2.9
Sandstone,Steel,Commercial,2,18,31.804817557649393,2.139750872108763,77.05919187125028,1529,Fire Resistant Paint,55,34,1.7
Sandstone,Steel,Commercial,2,37,23.958872891202198,6.799100853050483,66.63896639100386,1545,Fire Resistant Paint,80,12,3.0
Masonry Structures,Timber,Commercial,2,38,15.024391379933732,5.554932142359983,54.25727760362038,1372,Fire Resistant Paint,82,45,3.2
Sandstone,Steel,Residential,1,5,18.97175019614131,7.08951290536031,40.41632855015333,1257,Standard Paint,6,9,2.2
Reinforced Concrete Structures,Steel,Residential,1,4,13.307082804421535,1.7534894212170458,61.314889914021975,632,Fire Resistant Paint,10,9,4.2
Masonry Structures,Steel,Commercial,1,6,10.196669320057785,9.30817236811488,70.94731830071238,504,Fire Resistant Paint,98,12,6.3
Reinforced Concrete Structures,Timber,Residential,2,2,32.4624192659082,8.716122153983436,68.15472285966203,1734,Standard Paint,7,8,3.1
Timber Structures,Concrete,Commercial,1,27,19.80378449591515,4.1970969898057655,64.28529055953483,1563,Fire Resistant Paint,68,17,4.1
Sandstone,Steel,Residential,2,3,24.436281523415502,3.1915941543286572,65.30971852646447,1033,Fire Resistant Paint,10,3,3.2
Masonry Structures,Steel,Residential,1,6,26.679023018564223,6.264981198771736,85.40061267077137,1511,Fire Resistant Paint,9,9,3.3
Sandstone,Timber,Commercial,2,50,23.26996552163847,9.574096330219957,77.17455063218014,889,Standard Paint,90,22,3.7
Timber Structures,Concrete,Commercial,1,50,17.259813427405774,6.444223479384049,66.61007000236143,1232,Standard Paint,87,44,3.3
Sandstone,Concrete,Residential,2,2,22.83056647025486,5.806772752578002,76.58929718600385,1181,Standard Paint,3,10,4.2
Masonry Structures,Timber,Commercial,2,9,28.50951928024885,1.9778238840973128,89.67843046298124,1697,Standard Paint,44,25,2.5
Timber Structures,Timber,Residential,1,1,22.143964107173126,7.544276186239042,87.78114941764841,1686,Standard Paint,7,3,2.0
Reinforced Concrete Structures,Concrete,Commercial,2,27,17.934047613576254,1.2286627503671232,58.39872434653404,891,Fire Resistant Paint,76,37,3.3
Timber Structures,Timber,Commercial,2,50,14.467622978683933,5.514384140273683,45.67048984189244,1564,Standard Paint,96,21,4.8
Reinforced Concrete Structures,Steel,Residential,1,3,20.798559660732707,1.907283582397652,76.12866889454908,1194,Fire Resistant Paint,7,10,3.5
Sandstone,Steel,Commercial,1,45,10.695775585185613,7.752696022240162,87.9736356327636,1876,Standard Paint,68,31,2.7
Brick,Timber,Commercial,2,38,30.5498001730093,9.608755947351588,85.20563905195033,998,Fire Resistant Paint,95,20,3.0
Timber Structures,Concrete,Residential,2,5,32.040365680002395,7.76800620146609,73.54071125218573,1129,Fire Resistant Paint,8,6,1.6
Reinforced Concrete Structures,Concrete,Residential,2,6,26.231449632074696,9.609755270879065,40.059212887013935,590,Standard Paint,6,10,5.5
Masonry Structures,Timber,Residential,1,3,31.537937995479066,6.329588248047523,54.552062301425664,185,Fire Resistant Paint,8,8,6.4
Timber Structures,Timber,Commercial,2,17,25.498490519207493,4.793877785720207,55.00824317747765,1746,Fire Resistant Paint,64,32,2.2
Sandstone,Timber,Commercial,1,28,16.358615831804656,9.326374997130738,56.82238816016155,686,Standard Paint,60,13,3.3
Sandstone,Concrete,Residential,1,3,34.32585837320518,1.1959128160063965,64.57281850675923,790,Fire Resistant Paint,5,7,4.1
Reinforced Concrete Structures,Concrete,Commercial,2,35,16.433890731137726,3.4735027254880535,73.5018017498257,166,Standard Paint,68,19,6.3
Reinforced Concrete Structures,Timber,Residential,1,5,17.33662002284401,4.2737484977985005,59.39384934195863,1592,Standard Paint,7,10,3.5
Sandstone,Concrete,Residential,2,2,19.139283325199287,4.140677335535232,76.97123167869157,1052,Fire Resistant Paint,5,10,3.9
Masonry Structures,Steel,Commercial,1,27,32.83328514326694,3.130611099089148,45.54198401647791,146,Standard Paint,58,23,3.0
Sandstone,Steel,Residential,1,3,15.239918837285511,4.171709564093754,77.24065311678532,1872,Standard Paint,3,8,4.3
Reinforced Concrete Structures,Concrete,Residential,1,2,29.812177381506313,5.143417564714906,70.81835401017135,1951,Fire Resistant Paint,4,7,2.8
Sandstone,Concrete,Commercial,2,36,18.414950123514107,4.020006931497605,65.66333663142206,1465,Standard Paint,71,49,2.2
Masonry Structures,Steel,Residential,1,3,29.39881443073668,7.016830599751631,52.67487637808921,1522,Fire Resistant Paint,8,2,6.4
Reinforced Concrete Structures,Concrete,Residential,1,5,31.787409713894984,1.8208829038899617,88.74692114199638,1761,Standard Paint,10,1,2.9
Brick,Concrete,Residential,1,6,31.68601686663235,9.012875327213836,50.104599548360724,1814,Fire Resistant Paint,9,1,1.3
Masonry Structures,Steel,Residential,1,1,26.46712030396247,9.5803756455759,86.27221706106641,222,Fire Resistant Paint,6,10,2.0
Masonry Structures,Concrete,Residential,1,4,17.91579642752392,7.27652040167356,74.49077128573927,1357,Standard Paint,9,10,3.0
Sandstone,Concrete,Residential,2,2,20.73468021228547,6.081913805905295,86.56416182392081,1382,Fire Resistant Paint,7,8,3.2
Timber Structures,Concrete,Residential,1,1,16.457960356495356,2.199605308129761,71.0889347645948,1540,Standard Paint,4,8,5.2
Masonry Structures,Steel,Commercial,1,27,28.183946881376556,4.505836250079785,89.08141795560906,139,Fire Resistant Paint,97,39,3.6
Brick,Concrete,Commercial,1,34,33.26006376496082,9.740101109919355,76.68260421351752,1639,Standard Paint,76,24,4.3
Timber Structures,Concrete,Residential,1,3,30.78033874813906,6.111635613103899,44.36174766369141,1532,Standard Paint,3,8,2.4
Brick,Steel,Commercial,1,44,13.451041055858267,3.3698545810305407,80.85645075367694,1381,Fire Resistant Paint,61,18,5.4
Reinforced Concrete Structures,Timber,Residential,2,1,26.108143634324417,3.1222450836647555,83.94666245534414,1573,Standard Paint,5,5,5.6
Reinforced Concrete Structures,Timber,Commercial,1,26,22.493587457318483,1.4400268368463651,56.249079258964976,997,Fire Resistant Paint,78,40,4.1
Brick,Steel,Commercial,1,44,23.63072782156047,8.32329849485548,86.59647838304598,1204,Fire Resistant Paint,71,11,2.7
Brick,Steel,Residential,2,5,14.220898968575977,5.936507238393109,42.24174383947698,278,Fire Resistant Paint,8,7,2.7
Brick,Steel,Residential,1,3,13.322483838163492,9.852984944096123,82.97929015528251,1702,Standard Paint,9,8,2.1
Reinforced Concrete Structures,Steel,Commercial,1,50,22.113705607604597,2.6101990622399955,68.2293657049589,941,Fire Resistant Paint,60,21,5.9
Brick,Timber,Residential,2,2,18.29672958686195,1.2271340974758749,84.56896308203355,1520,Standard Paint,7,6,2.2
Masonry Structures,Steel,Commercial,2,20,28.54358002880916,8.356665880205693,50.40619992824786,114,Standard Paint,81,31,3.6
Masonry Structures,Concrete,Residential,1,5,27.157079605521638,9.411923542249019,43.429588501771306,1216,Standard Paint,9,3,2.8
Brick,Steel,Commercial,1,12,11.16380490545783,8.161801051394583,81.35706028649786,926,Standard Paint,50,44,4.0
Timber Structures,Steel,Residential,2,2,21.847808910292308,1.554496038381973,68.42171254329304,1712,Fire Resistant Paint,9,4,2.3
Masonry Structures,Timber,Commercial,1,10,11.92775348513986,1.5586343093599695,57.512031380571045,1858,Standard Paint,78,13,3.2
Brick,Steel,Residential,1,5,30.837247705809354,9.795323722483026,53.03649300088921,919,Fire Resistant Paint,9,1,2.6
Sandstone,Timber,Residential,1,5,15.699758447113759,3.273982937188221,76.18428503228135,1160,Fire Resistant Paint,6,7,3.6
Reinforced Concrete Structures,Concrete,Residential,2,6,28.88068047940831,2.012355436650732,43.024208661072514,1998,Standard Paint,9,4,3.7
Sandstone,Concrete,Residential,2,5,22.37542502941025,8.472767845352635,41.92411787475773,1990,Standard Paint,10,6,2.6
Reinforced Concrete Structures,Concrete,Commercial,1,48,24.65395969603489,3.2842621666750818,85.25839595298412,603,Standard Paint,63,18,3.7
Masonry Structures,Concrete,Residential,2,5,31.344082898904794,6.317088556119042,66.81041577626502,1953,Fire Resistant Paint,9,5,4.0
Reinforced Concrete Structures,Timber,Commercial,2,49,20.978428956723526,1.7058356082352648,83.9933239805024,899,Standard Paint,96,24,3.9
Brick,Concrete,Commercial,1,31,25.296890706915654,4.171464241279855,49.61973643709932,403,Standard Paint,65,14,4.3
Brick,Concrete,Commercial,1,43,26.731770643160583,5.997751455446487,72.39251133695055,943,Standard Paint,80,17,4.8
Sandstone,Concrete,Commercial,2,36,30.9802216969474,1.6908969837322152,51.09817672069292,1340,Standard Paint,60,18,2.8
Timber Structures,Concrete,Commercial,2,25,21.274807669066906,4.302469743212847,58.399926201111086,1980,Standard Paint,87,16,3.4
